tensor(0.2684, device='cuda:0')
tensor(0.5121, device='cuda:0')
tensor(0.6256, device='cuda:0')
tensor(0.6858, device='cuda:0')
tensor(0.7350, device='cuda:0')
tensor(0.7778, device='cuda:0')
tensor(0.7965, device='cuda:0')
tensor(0.8307, device='cuda:0')
tensor(0.8539, device='cuda:0')
tensor(0.8673, device='cuda:0')
tensor(0.8789, device='cuda:0')
tensor(0.8853, device='cuda:0')
tensor(0.9037, device='cuda:0')
tensor(0.9128, device='cuda:0')
tensor(0.9191, device='cuda:0')
tensor(0.9267, device='cuda:0')
tensor(0.9315, device='cuda:0')
tensor(0.9380, device='cuda:0')
tensor(0.9412, device='cuda:0')
tensor(0.9420, device='cuda:0')
tensor(0.9499, device='cuda:0')
tensor(0.9473, device='cuda:0')
tensor(0.9549, device='cuda:0')
