tensor(0.2496, device='cuda:0')
tensor(0.5291, device='cuda:0')
tensor(0.6392, device='cuda:0')
tensor(0.7077, device='cuda:0')
tensor(0.7553, device='cuda:0')
tensor(0.7929, device='cuda:0')
tensor(0.8220, device='cuda:0')
tensor(0.8464, device='cuda:0')
tensor(0.8709, device='cuda:0')
tensor(0.8785, device='cuda:0')
tensor(0.8954, device='cuda:0')
tensor(0.9108, device='cuda:0')
tensor(0.9066, device='cuda:0')
tensor(0.9258, device='cuda:0')
tensor(0.9258, device='cuda:0')
tensor(0.9344, device='cuda:0')
tensor(0.9383, device='cuda:0')
tensor(0.9462, device='cuda:0')
tensor(0.9426, device='cuda:0')
tensor(0.9490, device='cuda:0')
tensor(0.9519, device='cuda:0')
