tensor(0.1669, device='cuda:0')
tensor(0.3220, device='cuda:0')
tensor(0.4079, device='cuda:0')
tensor(0.4657, device='cuda:0')
tensor(0.5149, device='cuda:0')
tensor(0.5506, device='cuda:0')
tensor(0.5748, device='cuda:0')
tensor(0.5967, device='cuda:0')
tensor(0.6175, device='cuda:0')
tensor(0.6371, device='cuda:0')
tensor(0.6457, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.6679, device='cuda:0')
tensor(0.6869, device='cuda:0')
tensor(0.6960, device='cuda:0')
tensor(0.7100, device='cuda:0')
tensor(0.7132, device='cuda:0')
tensor(0.7273, device='cuda:0')
tensor(0.7340, device='cuda:0')
tensor(0.7435, device='cuda:0')
tensor(0.7490, device='cuda:0')
tensor(0.7560, device='cuda:0')
tensor(0.7632, device='cuda:0')
tensor(0.7652, device='cuda:0')
tensor(0.7754, device='cuda:0')
tensor(0.7815, device='cuda:0')
tensor(0.7817, device='cuda:0')
tensor(0.7879, device='cuda:0')
tensor(0.7970, device='cuda:0')
tensor(0.7968, device='cuda:0')
tensor(0.8053, device='cuda:0')
tensor(0.8074, device='cuda:0')
tensor(0.8129, device='cuda:0')
tensor(0.8142, device='cuda:0')
tensor(0.8071, device='cuda:0')
tensor(0.8193, device='cuda:0')
tensor(0.8281, device='cuda:0')
tensor(0.8324, device='cuda:0')
tensor(0.8345, device='cuda:0')
tensor(0.8362, device='cuda:0')
tensor(0.8397, device='cuda:0')
tensor(0.8439, device='cuda:0')
tensor(0.8467, device='cuda:0')
tensor(0.8477, device='cuda:0')
tensor(0.8495, device='cuda:0')
tensor(0.8513, device='cuda:0')
tensor(0.8532, device='cuda:0')
tensor(0.8604, device='cuda:0')
tensor(0.8635, device='cuda:0')
tensor(0.8610, device='cuda:0')
tensor(0.8633, device='cuda:0')
tensor(0.8678, device='cuda:0')
tensor(0.8674, device='cuda:0')
tensor(0.8687, device='cuda:0')
tensor(0.8741, device='cuda:0')
tensor(0.8768, device='cuda:0')
tensor(0.8784, device='cuda:0')
tensor(0.8781, device='cuda:0')
tensor(0.8783, device='cuda:0')
tensor(0.8808, device='cuda:0')
tensor(0.8834, device='cuda:0')
tensor(0.8868, device='cuda:0')
tensor(0.8891, device='cuda:0')
tensor(0.8875, device='cuda:0')
tensor(0.8903, device='cuda:0')
tensor(0.8923, device='cuda:0')
tensor(0.8933, device='cuda:0')
tensor(0.8933, device='cuda:0')
tensor(0.8912, device='cuda:0')
tensor(0.8989, device='cuda:0')
tensor(0.8946, device='cuda:0')
tensor(0.8976, device='cuda:0')
tensor(0.9020, device='cuda:0')
tensor(0.9004, device='cuda:0')
tensor(0.8991, device='cuda:0')
tensor(0.9030, device='cuda:0')
tensor(0.9055, device='cuda:0')
tensor(0.9068, device='cuda:0')
tensor(0.9088, device='cuda:0')
tensor(0.9054, device='cuda:0')
tensor(0.9112, device='cuda:0')
tensor(0.9117, device='cuda:0')
tensor(0.9092, device='cuda:0')
tensor(0.9113, device='cuda:0')
tensor(0.9128, device='cuda:0')
tensor(0.9128, device='cuda:0')
tensor(0.9132, device='cuda:0')
tensor(0.9140, device='cuda:0')
tensor(0.9168, device='cuda:0')
tensor(0.9175, device='cuda:0')
tensor(0.9181, device='cuda:0')
tensor(0.9192, device='cuda:0')
tensor(0.9175, device='cuda:0')
tensor(0.9200, device='cuda:0')
tensor(0.9171, device='cuda:0')
tensor(0.9208, device='cuda:0')
tensor(0.9232, device='cuda:0')
tensor(0.9228, device='cuda:0')
tensor(0.9225, device='cuda:0')
tensor(0.9236, device='cuda:0')
tensor(0.9204, device='cuda:0')
tensor(0.9234, device='cuda:0')
tensor(0.9256, device='cuda:0')
tensor(0.9257, device='cuda:0')
tensor(0.9274, device='cuda:0')
tensor(0.9257, device='cuda:0')
tensor(0.9269, device='cuda:0')
tensor(0.9296, device='cuda:0')
tensor(0.9260, device='cuda:0')
tensor(0.9278, device='cuda:0')
tensor(0.9287, device='cuda:0')
tensor(0.9287, device='cuda:0')
tensor(0.9329, device='cuda:0')
tensor(0.9302, device='cuda:0')
tensor(0.9346, device='cuda:0')
tensor(0.9312, device='cuda:0')
tensor(0.9297, device='cuda:0')
tensor(0.9324, device='cuda:0')
tensor(0.9322, device='cuda:0')
tensor(0.9325, device='cuda:0')
tensor(0.9358, device='cuda:0')
tensor(0.9347, device='cuda:0')
tensor(0.9341, device='cuda:0')
tensor(0.9361, device='cuda:0')
tensor(0.9391, device='cuda:0')
tensor(0.9348, device='cuda:0')
tensor(0.9388, device='cuda:0')
tensor(0.9373, device='cuda:0')
tensor(0.9357, device='cuda:0')
tensor(0.9370, device='cuda:0')
tensor(0.9381, device='cuda:0')
tensor(0.9411, device='cuda:0')
tensor(0.9393, device='cuda:0')
