tensor(0.2264, device='cuda:0')
tensor(0.3626, device='cuda:0')
tensor(0.4464, device='cuda:0')
tensor(0.4949, device='cuda:0')
tensor(0.5377, device='cuda:0')
tensor(0.5652, device='cuda:0')
tensor(0.5917, device='cuda:0')
tensor(0.6239, device='cuda:0')
tensor(0.6360, device='cuda:0')
tensor(0.6563, device='cuda:0')
tensor(0.6621, device='cuda:0')
tensor(0.6862, device='cuda:0')
tensor(0.6938, device='cuda:0')
tensor(0.7132, device='cuda:0')
tensor(0.7230, device='cuda:0')
tensor(0.7320, device='cuda:0')
tensor(0.7444, device='cuda:0')
tensor(0.7421, device='cuda:0')
tensor(0.7585, device='cuda:0')
tensor(0.7644, device='cuda:0')
tensor(0.7704, device='cuda:0')
tensor(0.7803, device='cuda:0')
tensor(0.7871, device='cuda:0')
tensor(0.7902, device='cuda:0')
tensor(0.7972, device='cuda:0')
tensor(0.8031, device='cuda:0')
tensor(0.8093, device='cuda:0')
tensor(0.8173, device='cuda:0')
tensor(0.8150, device='cuda:0')
tensor(0.8238, device='cuda:0')
tensor(0.8278, device='cuda:0')
tensor(0.8373, device='cuda:0')
tensor(0.8329, device='cuda:0')
tensor(0.8388, device='cuda:0')
tensor(0.8386, device='cuda:0')
tensor(0.8486, device='cuda:0')
tensor(0.8474, device='cuda:0')
tensor(0.8560, device='cuda:0')
tensor(0.8541, device='cuda:0')
tensor(0.8602, device='cuda:0')
tensor(0.8619, device='cuda:0')
tensor(0.8667, device='cuda:0')
tensor(0.8641, device='cuda:0')
tensor(0.8700, device='cuda:0')
tensor(0.8726, device='cuda:0')
tensor(0.8751, device='cuda:0')
tensor(0.8823, device='cuda:0')
tensor(0.8803, device='cuda:0')
tensor(0.8793, device='cuda:0')
tensor(0.8799, device='cuda:0')
tensor(0.8853, device='cuda:0')
tensor(0.8842, device='cuda:0')
tensor(0.8898, device='cuda:0')
tensor(0.8916, device='cuda:0')
tensor(0.8923, device='cuda:0')
tensor(0.8935, device='cuda:0')
tensor(0.8933, device='cuda:0')
tensor(0.8979, device='cuda:0')
tensor(0.8992, device='cuda:0')
tensor(0.9052, device='cuda:0')
tensor(0.9002, device='cuda:0')
tensor(0.9048, device='cuda:0')
tensor(0.9073, device='cuda:0')
