tensor(0.3048, device='cuda:0')
tensor(0.5449, device='cuda:0')
tensor(0.6541, device='cuda:0')
tensor(0.7172, device='cuda:0')
tensor(0.7564, device='cuda:0')
tensor(0.7977, device='cuda:0')
tensor(0.8263, device='cuda:0')
tensor(0.8478, device='cuda:0')
tensor(0.8648, device='cuda:0')
tensor(0.8772, device='cuda:0')
tensor(0.8926, device='cuda:0')
tensor(0.9039, device='cuda:0')
tensor(0.9108, device='cuda:0')
tensor(0.9201, device='cuda:0')
tensor(0.9246, device='cuda:0')
tensor(0.9330, device='cuda:0')
tensor(0.9364, device='cuda:0')
tensor(0.9427, device='cuda:0')
tensor(0.9427, device='cuda:0')
tensor(0.9476, device='cuda:0')
tensor(0.9552, device='cuda:0')
tensor(0.9538, device='cuda:0')
