tensor(0.2332, device='cuda:0')
tensor(0.4311, device='cuda:0')
tensor(0.5445, device='cuda:0')
tensor(0.6198, device='cuda:0')
tensor(0.6743, device='cuda:0')
tensor(0.7187, device='cuda:0')
tensor(0.7517, device='cuda:0')
tensor(0.7844, device='cuda:0')
tensor(0.8068, device='cuda:0')
tensor(0.8298, device='cuda:0')
tensor(0.8496, device='cuda:0')
tensor(0.8609, device='cuda:0')
tensor(0.8760, device='cuda:0')
tensor(0.8924, device='cuda:0')
tensor(0.8965, device='cuda:0')
tensor(0.9067, device='cuda:0')
tensor(0.9126, device='cuda:0')
tensor(0.9180, device='cuda:0')
tensor(0.9231, device='cuda:0')
tensor(0.9267, device='cuda:0')
tensor(0.9316, device='cuda:0')
tensor(0.9400, device='cuda:0')
tensor(0.9382, device='cuda:0')
