tensor(0.2869, device='cuda:0')
tensor(0.5173, device='cuda:0')
tensor(0.6225, device='cuda:0')
tensor(0.6793, device='cuda:0')
tensor(0.7287, device='cuda:0')
tensor(0.7533, device='cuda:0')
tensor(0.7826, device='cuda:0')
tensor(0.8052, device='cuda:0')
tensor(0.8253, device='cuda:0')
tensor(0.8433, device='cuda:0')
tensor(0.8524, device='cuda:0')
tensor(0.8659, device='cuda:0')
tensor(0.8762, device='cuda:0')
tensor(0.8811, device='cuda:0')
tensor(0.8887, device='cuda:0')
tensor(0.8957, device='cuda:0')
tensor(0.9032, device='cuda:0')
tensor(0.9051, device='cuda:0')
tensor(0.9134, device='cuda:0')
tensor(0.9159, device='cuda:0')
tensor(0.9240, device='cuda:0')
tensor(0.9241, device='cuda:0')
tensor(0.9310, device='cuda:0')
