tensor(0.2923, device='cuda:0')
tensor(0.5527, device='cuda:0')
tensor(0.6541, device='cuda:0')
tensor(0.7166, device='cuda:0')
tensor(0.7624, device='cuda:0')
tensor(0.7958, device='cuda:0')
tensor(0.8210, device='cuda:0')
tensor(0.8490, device='cuda:0')
tensor(0.8677, device='cuda:0')
tensor(0.8828, device='cuda:0')
tensor(0.8962, device='cuda:0')
tensor(0.9035, device='cuda:0')
tensor(0.9131, device='cuda:0')
tensor(0.9196, device='cuda:0')
tensor(0.9270, device='cuda:0')
tensor(0.9276, device='cuda:0')
tensor(0.9374, device='cuda:0')
tensor(0.9409, device='cuda:0')
tensor(0.9464, device='cuda:0')
tensor(0.9438, device='cuda:0')
tensor(0.9543, device='cuda:0')
tensor(0.9519, device='cuda:0')
tensor(0.9566, device='cuda:0')
tensor(0.9587, device='cuda:0')
