506,0,0,0,0,0,3,41,0,5,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,415,1,0,1,0,2,1,3,2,0,0,1,1,0,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,5,0,0,0,4,0,0,0
0,1,472,0,1,1,0,0,12,0,2,0,0,3,1,0,0,0,0,2,1,7,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,694,4,3,0,1,6,1,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,2,0,0,1,1,0,3,1,0,3,0,0,0,0,1,0,2,1,0,0,0,9,0,0,0,0,0,1,0
0,0,3,2,447,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,2,6,0,457,0,0,10,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,0,0,0,2,0,0,0
0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,0,1,0,689,2,16,1,0,7,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0,32,4,14,1,6,3,0,469,0,0,1,0,1,2,2,5,0,2,9,5,7,1,4,1,1,0,0,0,2,2,15,1,0,0,2,0,0,0,1,2,3,0,6,9,0,25,0,0,0,6,0,0,0
8,4,8,8,0,2,5,43,6,570,0,0,28,9,0,3,0,7,11,4,0,34,10,2,2,4,0,0,0,0,0,13,22,1,2,2,2,1,8,1,1,2,1,0,1,0,25,1,1,0,0,0,0,2
0,0,3,2,0,0,2,0,0,1,407,0,0,3,1,0,0,0,5,1,0,6,1,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,9,0,0,0,3,0,0,0,0,2,0,0
2,2,1,1,3,1,0,0,9,0,0,672,1,0,0,0,0,4,0,5,0,1,0,2,11,47,2,0,2,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,6,42,0,1,0
