tensor(0.1959, device='cuda:0')
tensor(0.3717, device='cuda:0')
tensor(0.4614, device='cuda:0')
tensor(0.5070, device='cuda:0')
tensor(0.5421, device='cuda:0')
tensor(0.5794, device='cuda:0')
tensor(0.5963, device='cuda:0')
tensor(0.6214, device='cuda:0')
tensor(0.6441, device='cuda:0')
tensor(0.6565, device='cuda:0')
tensor(0.6769, device='cuda:0')
tensor(0.6784, device='cuda:0')
tensor(0.6935, device='cuda:0')
tensor(0.7082, device='cuda:0')
tensor(0.7161, device='cuda:0')
tensor(0.7256, device='cuda:0')
tensor(0.7354, device='cuda:0')
tensor(0.7380, device='cuda:0')
tensor(0.7453, device='cuda:0')
tensor(0.7543, device='cuda:0')
tensor(0.7613, device='cuda:0')
tensor(0.7722, device='cuda:0')
tensor(0.7766, device='cuda:0')
tensor(0.7794, device='cuda:0')
tensor(0.7900, device='cuda:0')
tensor(0.7887, device='cuda:0')
tensor(0.7957, device='cuda:0')
tensor(0.7992, device='cuda:0')
tensor(0.8045, device='cuda:0')
tensor(0.8088, device='cuda:0')
tensor(0.8086, device='cuda:0')
tensor(0.8169, device='cuda:0')
tensor(0.8221, device='cuda:0')
tensor(0.8208, device='cuda:0')
tensor(0.8271, device='cuda:0')
tensor(0.8294, device='cuda:0')
tensor(0.8376, device='cuda:0')
tensor(0.8422, device='cuda:0')
tensor(0.8431, device='cuda:0')
tensor(0.8441, device='cuda:0')
tensor(0.8453, device='cuda:0')
tensor(0.8507, device='cuda:0')
tensor(0.8530, device='cuda:0')
tensor(0.8566, device='cuda:0')
tensor(0.8624, device='cuda:0')
tensor(0.8627, device='cuda:0')
tensor(0.8660, device='cuda:0')
tensor(0.8661, device='cuda:0')
tensor(0.8678, device='cuda:0')
tensor(0.8719, device='cuda:0')
